ID,Age,Gender,Experience_years,Species,Experience,Hunch,Glance,Apaja,Familiar,Delicious,Protect,Parents,Grandparents,OtherRelatives,Books,Internet,Course,Other,FunHobby,Food,ResearchOrScience,Relax,NatureExperience,Exercise,SocialActivity,SpeciesPicture1,SpeciesPicture2,Heuristics,Reported_Heuristics1,Reported_Heuristics2,Reported_Heuristics3
14,44,F,31,5,4,4,4,5,4,2,2,x,,,,,,,x,x,,x,x,x,x,FunnelChanterelle AlbatrellusOvinus LactariusRufus,Chanterelle  Lactarius,5,Pick,Milk,Kosteus
15,65,F,10,1,4,5,5,5,5,4,5,x,,x,,,,,x,x,,x,x,x,x,FunnelChanterelle Lactarius,Chanterelle,4,Pick,Pick,Chanterelle Morel 
16,36,F,4,3,2,4,4,4,4,2,3,,,,,,,x,x,x,,x,x,x,,FunnelChanterelle,Porcini  Bolete,4,Pick Eat  Separate,Lookalike,
17,41,F,8,2,4,4,2,4,4,2,4,,x,,x,x,,,x,x,,,x,,,LactariusRufus AlbatrellusOvinus,Chanterelle,3,,,
18,61,F,8,3,5,4,3,4,4,1,4,x,,,x,x,,,x,x,,,x,,,LactariusTrivialis Porcini BayBolete CurryMilkcap HygrophorusCamarophyllus WitchesCauldron FunnelChanterelle AlbatrellusOvinus,UglyMilkcap  RoughStemmedBolete  FlyAgaric  Chanterelle  Agaricus Coprinus,4,Eat,Lookalike ,Morel
19,42,F,30,8,5,4,4,4,4,2,5,,x,,,,,,x,x,,x,,,,FunnelChanterelle AlbatrellusOvinus Porcini,Chanterelle,4,Pick,Smell,Mossy
20,39,F,2,2,1,4,1,4,4,4,3,x,,,x,x,,x,,x,,,,,,FunnelChanterelle HornOfPlenty,Bolete  Chanterelle,4,Pick Clean Whole Terrain BoleteSafe,Lookalike,
21,53,F,15,2,3,4,2,3,4,2,3,x,,,x,x,,x,,x,,,x,x,,Chanterelle Lactarius Bolete GypsyMushroom,Chanterelle ,3,Pick Clean One,,Familiar FunnelSlope Morel Kosteus
22,51,F,45,5,5,4,4,4,5,2,3,x,,,x,,,,x,x,,x,x,,,FunnelChanterelle CurryMilkcap VelvetBolete LactariusRufus Porcini,Leccinum Russula UglyMilkcap,3,Pick,Milk,
23,63,M,15,3,4,5,4,4,3,3,4,,,,x,x,x,,x,x,,,,,,FunnelChanterelle Porcini,Chanterelle,4,White,,Spruces Morel Familiar Old
24,43,F,34,2,3,4,4,4,4,1,4,x,,,x,x,,,x,x,,x,x,x,,FunnelChanterelle,Chanterelle,4,Tell Eat Lost,Eat,
25,39,F,13,3,5,5,5,4,5,1,5,x,,,,,,,,x,,x,x,,,FunnelChanterelle,Chanterelle,5,Pick,,Familiar
26,40,F,9,5,4,2,3,1,4,1,1,x,,,x,x,x,,x,,,x,x,x,,FunnelChanterelle Chanterelle AlbatrellusOvinus,WoollyMilkcap ,4,Tell Equipment Eat,Milk BoleteSafe Sponge Smell,
27,52,F,25,5,4,4,4,5,4,2,4,x,,x,x,x,,,x,x,,x,x,x,,FunnelChanterelle,Chanterelle,5,Milk Pick Eat,,
29,70,F,50,3,4,4,4,3,5,5,4,x,,,,,,,,x,,,,x,,Porcini LactariusRufus HygrophorusCamarophyllus,,3,Pick,,
30,48,F,42,1,5,5,4,3,5,4,3,x,,,,,,,x,x,,x,x,,,Lactarius,Chanterelle,5,Pick,Milk,
31,39,F,6,3,3,4,2,1,4,4,4,x,,,,,,,,,,,x,,,Bolete FunnelChanterelle Lactarius,Chanterelle,4,Pick Clean Poisonous,,
32,60,F,40,5,5,4,4,3,4,1,1,,,,x,,,x,x,x,,x,x,x,,FunnelChanterelle AlbatrellusOvinus Porcini,Chanterelle  Russula ,4,Eat,,Scent
33,43,M,35,5,4,4,3,2,4,2,3,x,,,x,x,,,x,x,,,x,,,FunnelChanterelle,Bolete  Coprinus ,4,Pick Milk,Milk,
34,49,F,20,3,2,4,4,2,5,1,5,,,x,,,,,,x,,x,,,,FunnelChanterelle Bolete Russula,Chanterelle  Lactarius ,4,Pick,Terrain Sources,Kosteus
35,53,F,20,6,4,4,4,5,4,1,3,x,,,x,,,x,x,x,,x,,x,,FunnelChanterelle Russula LactariusRufus,FalseSaffronMilkcap  WoollyMilkcap  Chanterelle,4,Pick,Milk,
36,25,F,8,5,4,2,4,5,4,1,5,x,,,,x,,,x,,,,x,,,FunnelChanterelle Porcini Chanterelle,Chanterelle,5,Pick Unidentified Equipment,BoleteSafe Milk Poisonous,Scent Chanterelle
37,53,M,10,7,4,5,4,2,5,2,3,x,,,x,,,,x,x,,,x,,,Russula Bolete ShaggyParasol Hydnum CurryMilkcap FlatBulb,Chanterelle Hygrophoraceae Russula Bolete,1,Pick,Smell,FunnelMoss FunnelSpruce Path
38,24,Other,18,6,4,4,4,2,4,1,3,x,,x,,x,,,x,x,,x,x,x,x,Bolete SlimySpikeCap FunnelChanterelle CraterellusLutescens Russula,Chanterelle  HornOfPlenty,3,Pick Eat Unidentified Equipment,Eat One White,Chanterelle FunnelMoss
39,51,F,40,10,3,4,2,4,4,4,4,x,,,x,x,,,x,x,,x,x,x,x,Russula Chanterelle FunnelChanterelle,Russula  Chanterelle  Bolete,5,Pick White Unidentified,White Smell,
40,41,F,12,2,2,5,2,5,4,5,5,,x,,,x,,,,x,,x,x,,,FunnelChanterelle,,5,Pick,,Kosteus
41,70,M,60,10,4,4,3,4,5,4,5,x,,,,,,,x,,,,x,,,Lactarius,Chanterelle,5,,,
42,37,F,21,3,4,4,5,5,4,1,3,x,x,,,,,,x,x,,x,x,,x,FunnelChanterelle AlbatrellusOvinus Russula LactariusRufus,WoollyMilkcap  Russula  Chanterelle,5,Pick Unidentified Sources,Milk ,
43,41,M,19,7,5,4,4,2,4,2,4,,,,x,,x,,x,x,,x,x,x,,FunnelChanterelle AlbatrellusOvinus HygrocybeChlorophana,MeadowWaxcap Chanterelle BareToothedRussula,2,Eat,Poisonous,FunnelSlope Instinct
44,45,F,40,5,4,4,2,4,4,2,5,,x,,x,,,,x,x,,x,x,,,Chanterelle Lactarius FunnelChanterelle,Chanterelle ,2,Pick,Milk Stockings Sponge,FunnelMoss FunnelSlope
45,46,F,23,9,5,4,4,4,5,2,5,x,x,x,x,,,,x,,,x,x,,,Russula Bolete FunnelChanterelle Lactarius,,4,Pick Unidentified Milk,Bulb,Familiar Scent Mossy Kosteus Instinct
46,50,F,10,3,4,4,2,4,2,2,4,x,,,x,x,x,x,,x,,x,x,,,FunnelChanterelle SweetTooth Porcini,Chanterelle,3,,Poisonous,Morel
47,67,F,40,3,4,4,4,5,5,2,4,x,,,x,,,,x,x,,x,x,x,,Bolete,Russula,4,Pick,Sources,Familiar
48,67,F,50,2,4,5,4,4,5,4,1,x,,,x,x,,x,x,x,,x,x,x,x,Porcini GypsyMushroom Leccinum LactariusRufus,WoollyMilkcap LactariusTrivialis ,5,,Smell,Familiar
49,64,F,44,4,4,5,4,5,5,5,3,x,,,,,,,,,,x,x,x,x,FunnelChanterelle Chanterelle Porcini Hydnum,Bolete,4,Pick Alone,Milk,
50,71,F,50,3,5,5,5,4,4,5,5,,,,x,,x,,x,x,,x,x,,,FunnelChanterelle Lactarius Bolete HornOfPlenty Chanterelle,Russula,4,Pick White One,White Lookalike ,
51,56,F,40,3,4,5,5,5,4,1,4,x,,,,,,,x,x,,x,x,x,,Bolete FunnelChanterelle,Chanterelle,5,Pick Eat,,Similar
52,32,F,6,6,4,4,4,2,4,1,3,,x,,,x,,,x,x,x,x,,x,,Lactarius FunnelChanterelle HornOfPlenty Bolete AlbatrellusOvinus,Bolete  Chaga,4,Poisonous Eat,Milk,
53,55,F,40,3,4,4,4,2,4,2,2,x,,,x,x,,,x,x,,x,x,x,,Lactarius HornOfPlenty FunnelChanterelle,Bolete  Russula  Chanterelle ,4,,BoleteSafe Milk Stockings,Kosteus
54,34,F,5,3,2,4,4,5,4,4,3,x,,,,,,,x,,,x,x,,,FunnelChanterelle,Bolete,4,Pick,,Familiar Similar
55,38,F,3,5,3,2,4,5,1,4,3,,,,x,,x,x,x,x,,x,x,x,x,Russula FunnelChanterelle HornOfPlenty,Chanterelle,4,Pick,Milk,
56,52,F,35,8,5,4,5,5,4,1,4,,,,,,,,x,x,,x,x,x,x,Bolete Chanterelle FunnelChanterelle AlbatrellusOvinus HornOfPlenty,Bolete Chanterelle,5,Pick Clean,Smell,Kosteus
57,53,F,45,5,4,5,3,4,4,5,4,x,x,x,x,,,,x,x,,x,x,x,,Bolete Russula FunnelChanterelle,Chanterelle,5,Equipment,Pick White,Familiar Instinct
58,55,F,30,10,4,4,4,4,4,2,3,x,x,,,,x,,x,x,,x,x,x,,FunnelChanterelle GypsyMushroom AlbatrellusOvinus,Chanterelle  Leccinum,4,Unidentified Pick,Pick Sponge Milk Sources,FunnelMoss Chanterelle
59,63,F,53,3,4,4,4,5,4,2,1,x,,,,,x,,x,x,,x,x,x,x,FunnelChanterelle GypsyMushroom Bolete Lactarius,Chanterelle ,5,Pick,Milk Smell ,Familiar
60,31,F,3,6,2,5,4,4,4,1,2,,,,x,x,,,x,x,,x,x,,,FunnelChanterelle CurryMilkcap,Chanterelle,4,Pick Milk,Milk White,
61,45,F,15,3,2,4,3,5,2,1,3,x,,,x,,,,x,x,,x,x,,,Lactarius,Chanterelle,4,Pick,Pick,Spruces Similar Old
62,63,F,45,8,4,4,4,3,3,1,3,x,,x,x,,,,x,x,,x,,x,x,FunnelChanterelle LactariusRufus HornOfPlenty Chanterelle Bolete Lactarius,Chanterelle  Lactarius  Bolete,4,Pick White,,Old
63,67,F,58,5,4,4,4,4,4,2,2,x,,,,,,,x,x,,x,x,x,,Bolete FoxyBolete Porcini Lactarius RussulaDecolorans,FunnelChanterelle,4,Pick,Sponge Ring Terrain,Morel Pine Old
64,34,F,10,2,4,4,3,4,5,2,3,,,x,,x,,,x,x,,,x,x,,FunnelChanterelle Bolete,Chanterelle,4,Pick,,
65,63,F,30,4,4,4,4,2,4,2,2,,,x,x,,,,x,x,,x,x,,,FunnelChanterelle Chanterelle Bolete Lactarius AlbatrellusOvinus,Chanterelle Bolete,4,Equipment Poisonous,,
66,60,F,33,6,5,5,5,4,2,2,4,x,,,x,x,x,,x,x,x,x,x,x,x,FunnelChanterelle AlbatrellusOvinus HornOfPlenty Porcini,Chanterelle  YellowSwampRussula  GrassGreenRussula RoughStemmedBolete,3,,Pick,
67,42,M,30,4,2,4,4,5,2,2,3,,,,x,x,,,x,x,,x,x,x,x,Russula FunnelChanterelle SweetTooth,Porcini  WoollyMilkcap  Chanterelle,2,,,
68,42,F,5,5,2,4,3,4,4,2,2,x,,x,x,x,x,,x,x,,x,x,x,,Bolete LactariusRufus Russula,WoollyMilkcap,4,Pick Milk,Milk,Path
69,35,F,5,3,3,4,3,4,5,4,4,,,x,x,x,,,x,x,,x,,,,Bolete Hydnum FunnelChanterelle,Chanterelle  Bolete,5,Pick Unidentified Sources One ,Sources,Similar Chanterelle
70,52,F,5,2,1,2,1,2,2,2,2,x,,x,x,x,,x,x,x,,x,x,x,,FunnelChanterelle, Lactarius,5,,BoleteSafe ,
71,21,F,4,3,5,5,4,5,4,4,3,x,x,,,x,,,x,x,,,x,x,,Russula,Bolete,4,Pick,,
72,64,F,45,3,4,4,4,4,4,2,5,x,x,x,,,,,x,x,,x,,x,x,Chanterelle LactariusRufus Bolete FunnelChanterelle,Chanterelle Lactarius,4,Pick One,White Webcap,
73,29,F,3,2,2,4,4,5,3,2,4,x,,,x,,,x,x,x,,x,x,x,x,FunnelChanterelle Chanterelle HornOfPlenty Bolete,,4,Pick,,Spruces Pine
74,66,F,55,12,5,5,5,5,5,1,2,x,,,x,,x,,x,,x,x,,,, Porcini Russula Lactarius HypholomaCapnoides,Hygrophoraceae,5,Unidentified,Ring Bulb,
75,59,F,10,3,4,4,4,4,3,3,5,x,,,x,x,,,x,x,,x,x,x,,Lactarius Bolete FunnelChanterelle,Chanterelle,5,,Milk,
76,35,F,3,3,2,4,2,2,4,4,2,,,,x,x,,x,x,,,x,x,x,x,Bolete,Lactarius,3,Equipment Alone Sound,BoleteSafe ,
77,45,M,5,5,4,5,4,5,3,3,5,x,,x,x,,,,x,,,x,x,x,,FunnelChanterelle SlimySpikeCap LactariusRufus VelvetBolete,Chanterelle Porcini HornOfPlenty Leccinum,5,Pick,White Pick,Kosteus
78,44,F,40,2,3,4,4,4,4,2,3,x,x,,,,,,x,x,,x,x,x,,Bolete GreyMilkcap  Chanterelle,Chanterelle,5,Pick Alone Tell Equipment Knife,White Red,Chanterelle FunnelSlope Morel Path Pine Rufous
79,43,F,20,5,4,4,3,4,3,1,2,x,,,x,,,,x,x,,x,x,,x,FunnelChanterelle Lactarius SlimySpikeCap,Bolete  Chanterelle,5,Pick One,,
80,60,F,40,5,5,5,5,5,4,4,5,x,,,x,,,,x,x,,,x,,,FunnelChanterelle Bolete,Chanterelle,5,Milk,,
81,62,F,42,5,3,4,4,2,2,2,1,,,x,x,,,,x,x,,x,x,x,x,FunnelChanterelle Leccinum Porcini GyromitraEsculenta,Chanterelle   Bolete,5,Pick,Eat,Chanterelle FunnelMoss
82,62,F,10,4,4,4,3,5,2,2,5,,x,,x,,x,,x,x,,,,,,FunnelChanterelle Bolete Russula,,4,,White Lookalike,FunnelMoss FunnelSpruce Pine
83,54,F,26,6,4,3,4,1,1,2,1,x,,,x,,,,x,x,,x,x,x,,FunnelChanterelle Lactarius AlbatrellusOvinus Bolete SweetTooth,Chanterelle  Lactarius  Russula  YellowSwampRussula    WoollyMilkcap,3,Pick Unidentified,Pick ,Morel Chanterelle 
84,65,F,30,3,4,4,4,5,4,1,3,x,,x,,x,,,x,,,,x,,x,Chanterelle FunnelChanterelle,WoollyMilkcap   AlbatrellusOvinus,4,Pick,Pick,Familiar
85,49,F,4,3,3,4,2,2,3,4,2,,,,,,,,x,x,,x,x,x,x,Bolete,Chanterelle,4,Eat,,
86,37,F,30,3,4,5,4,4,5,4,4,x,,,,,,x,x,,,x,x,x,,FunnelChanterelle CraterellusLutescens,Bolete,4,Pick,Bulb Milk Red,FunnelSpruce
87,27,F,3,4,2,4,4,5,4,1,2,,,x,,,,,x,x,,x,x,x,,Bolete Chanterelle FunnelChanterelle Hydnum GypsyMushroom,Lactarius  Chanterelle,4,Pick Unidentified Equipment,Pick,Chanterelle Old
88,59,F,10,4,2,4,3,4,4,2,4,x,,x,x,,,,x,x,,x,x,,x,FunnelChanterelle Hydnum Chanterelle,,4,Unidentified,,
89,57,F,25,4,4,4,4,5,5,3,4,x,,,x,x,,,x,x,,x,x,x,,FunnelChanterelle,Bolete,5,Unidentified Pick Milk White,Pick Milk White,Scent
90,56,F,4,3,4,4,4,4,5,2,2,x,,,,,,,x,x,,x,,x,,Chanterelle,Lactarius,5,Pick,Smell,
91,67,M,25,3,4,4,3,4,5,2,2,,,,x,x,,,x,,,x,,x,,Porcini Chanterelle FunnelChanterelle,Chanterelle,5,Pick,Pick,Morel
92,62,F,30,6,5,5,5,4,3,1,2,x,,,x,,x,,x,x,,x,x,,x,FunnelChanterelle AlbatrellusOvinus SweetTooth RussulaPaludosa RussulaVinosa BloodRedWebcap,Chanterelle ParasolMushroom ,3,Pick Unidentified Separate,,Instinct
93,73,F,55,2,4,5,4,5,5,3,3,,,,x,x,,,x,x,,x,,x,,Porcini Lactarius HornOfPlenty GypsyMushroom FunnelChanterelle GyromitraEsculenta,Chanterelle,4,Pick,,Familiar
94,47,F,20,7,3,4,3,5,2,2,3,x,,,x,x,,x,x,x,,x,x,x,x,FunnelChanterelle Chanterelle CurryMilkcap UglyMilkcap LactariusRufus WoollyMilkcap AlbatrellusOvinus SweetTooth Porcini HornOfPlenty HygrophorusCamarophyllus YellowSwampRussula Leccinum,Chanterelle AlbatrellusOvinus SweetTooth Porcini YellowSwampRussula Leccinum GypsyMushroom,5,One Unidentified Separate Terrain Senses,,
95,61,F,30,3,4,4,4,4,4,3,3,x,,,x,,,,x,x,,x,x,x,,FunnelChanterelle Bolete LactariusRufus,Bolete,4,One,Smell Milk,Familiar
96,49,F,20,8,4,5,4,5,5,1,1,x,x,,x,,,,x,x,,x,x,x,,Bolete AlbatrellusOvinus BloodRedWebcap Lactarius,Chanterelle  Russula  SheathedWoodtuft  Bolete ,5,Milk,Bulb,Kosteus
97,36,F,5,5,4,4,4,2,4,2,3,,,,x,,,x,x,x,,x,x,x,x,FunnelChanterelle,Porcini,3,,Pick,Mossy
98,34,M,4,12,4,5,3,4,4,2,4,x,,,x,x,x,,x,x,,x,x,x,x,FunnelChanterelle Chanterelle AlbatrellusOvinus LactariusTrivialis,Chanterelle  WoollyMilkcap  GrassGreenRussula ,3,Pick Separate Terrain,Sponge Milk None,Path Kosteus
99,50,F,10,3,4,4,2,4,4,2,2,x,,x,x,x,,,x,x,,x,x,x,,FunnelChanterelle CurryMilkcap,Chanterelle,5,White One ,Sponge,FunnelMoss Morel Chanterelle Path 
100,56,F,30,6,4,4,4,4,4,1,4,x,,,x,x,,x,x,x,,x,x,,,Chanterelle Lactarius FunnelChanterelle SurpriseWebcap Russula Bolete,Chanterelle  Russula  Bolete  Lactarius,4,Pick,White Milk ,
101,55,F,40,3,5,4,4,5,2,2,3,x,,,,,x,,x,x,,x,x,x,,Russula Chanterelle FunnelChanterelle Bolete,Chanterelle ,4,Pick,,
102,49,F,20,3,3,4,4,5,5,4,2,,,x,,,,,,,,x,x,x,,FunnelChanterelle Lactarius,Chanterelle,4,Pick,Pick,
103,58,F,26,3,4,5,2,4,4,5,2,x,,,,,,x,x,x,,x,x,x,x,FunnelChanterelle HornOfPlenty,,5,Clean Separate Terrain Clean,Smell Milk,Kosteus
104,44,F,15,5,4,4,4,3,4,1,4,x,,,,x,,x,x,x,,x,x,,x,AlbatrellusOvinus Hydnum FunnelChanterelle Agaricus,Russula  Bolete  Leccinum   Chanterelle    Lactarius Agaricus ParasolMushroom   ,4,Pick Terrain,White None,Familiar
105,56,F,50,6,5,4,5,4,5,1,4,x,,x,x,,,,x,x,,x,x,x,x,Russula Bolete Chanterelle FunnelChanterelle GypsyMushroom,,5,White,White,Kosteus
106,34,F,4,6,4,4,4,4,4,1,1,,,,x,x,,x,x,x,,x,x,x,x,Bolete Chanterelle Lactarius AlbatrellusOvinus,Bolete  Chanterelle,4,Eat,,
107,55,F,35,2,2,4,4,4,5,4,4,x,,,,x,,x,x,x,,x,,,x,FunnelChanterelle HornOfPlenty,Chanterelle  GyromitraEsculenta,2,Pick,,
108,51,F,40,8,5,5,4,4,4,3,3,x,,,x,,,,x,,,x,x,,,Hydnum AlbatrellusOvinus FunnelChanterelle,Chanterelle  Bolete  Russula,3,,,
109,47,F,40,6,4,5,5,3,1,1,1,x,x,,x,,,,x,x,,x,x,x,x,Bolete Cantharellus Lactarius ,WoollyMilkcap Porcini,4,Equipment,Pick,
110,59,F,30,3,5,4,4,4,4,2,4,x,x,,x,,,,x,x,,x,x,x,,Chanterelle FunnelChanterelle Bolete Lactarius,Chanterelle,5,Pick,Milk,Mossy Spruces Old
111,33,F,25,2,4,5,5,5,4,4,4,x,,,x,,,x,,x,,x,,,,Russula,Bolete,3,Milk,,
112,34,M,10,10,4,4,4,4,4,2,3,x,x,x,x,x,,x,x,x,,x,x,,x,Hydnum Bolete Cantharellus Lactarius Russula,Agaricus  HornOfPlenty,3,Pick,,Familiar
113,22,M,3,4,4,4,4,4,3,2,5,,,,x,x,,x,x,x,,,x,x,x,FunnelChanterelle Chanterelle AlbatrellusOvinus RussulaPaludosa HornOfPlenty,Chanterelle  HornOfPlenty,2,Sources,,
114,28,F,2,1,1,5,2,5,4,3,3,,x,,,x,,,x,x,,x,x,,,FunnelChanterelle,Bolete,5,Pick,BoleteSafe Sponge,
115,71,M,60,7,5,5,4,3,5,1,4,x,,,,,,,x,x,x,,x,x,,Porcini LactariusTrivialis RussulaPaludosa Russula AlbatrellusOvinus SweetTooth TerracottaHedgehog HornOfPlenty Chanterelle FunnelChanterelle HygrophorusCamarophyllus Agaricus,Agaricus  OrangeBirchBolete  GrassGreenRussula Chanterelle  UglyMilkcap Clitocybe Entoloma Hygrophoraceae,3,Equipment,Milk White Pick ,Familiar Morel
116,59,F,45,5,4,4,4,2,2,4,4,x,,,x,x,,,x,x,,x,x,x,x,RamariaFlava Ramaria LactariusTrivialis PseudoplectaniaNigrella Lactarius Russula FunnelChanterelle,WoollyMilkcap Chanterelle,3,Pick,Pick,
117,25,M,3,4,2,4,2,2,2,2,3,x,x,,,x,,,x,x,,x,x,x,,Bolete FunnelChanterelle,,5,Equipment,,
120,32,F,10,3,4,4,4,5,2,2,2,x,x,,x,x,,,x,x,,x,x,x,,Porcini FunnelChanterelle HypholomaCapnoides BirchMilkcap CurryMilkcap,Leccinum  Chanterelle  SlipperyJack,5,Pick Unidentified,Milk ,Morel Chanterelle FunnelSlope FunnelSpruce Rufous
121,65,F,35,10,4,4,4,4,4,3,3,,,,x,,,x,,,,x,x,x,,FunnelChanterelle,Chanterelle  Bolete,3,,,
122,49,F,29,6,5,4,4,5,4,2,2,x,x,,x,,,,x,,,x,x,,,Lactarius FunnelChanterelle Chanterelle AlbatrellusOvinus HygrophorusCamarophyllus SlimySpikeCap  Webcap VelvetRollRim,Porcini  OrangeBirchBolete  Russula  YellowSwampRussula  Chanterelle  UglyMilkcap ,5,Pick,Pick Poisonous Milk,
123,85,F,60,3,4,4,5,2,5,5,3,x,,,x,,,x,x,x,,,,x,x,AlbatrellusOvinus Bolete,SlipperyJack  GrassGreenRussula    Morel ,4,Separate Sources Pick,White,Morel Chanterelle Pine
124,53,F,48,6,5,5,4,4,4,2,2,x,x,,x,x,,,x,x,,x,x,x,x,FunnelChanterelle Porcini VelvetBolete Leccinum LactariusRufus WoollyMilkcap Russula RussulaDecolorans RussulaPaludosa RussulaVinosa Hydnum GypsyMushroom HygrophorusCamarophyllus,Chanterelle Coprinus  SlipperyJack  Lycoperdon PearShapedPuffball CommonPuffball,5,Milk White ,,
125,57,F,3,3,5,5,4,5,5,4,4,x,,,,,,,,x,,,x,x,,FunnelChanterelle,Chanterelle,5,Tell Sound,,Path FunnelSlope Morel
126,67,F,53,4,4,5,5,5,4,4,3,x,,,x,,,,x,,,x,x,x,,FunnelChanterelle Lactarius,Chanterelle,4,Equipment,,
127,53,F,30,5,4,4,4,5,5,1,1,x,x,,,,,,x,,,x,x,,,FunnelChanterelle AlbatrellusOvinus Hydnum,Chanterelle  WoollyMilkcap  Bolete,5,Eat,White Smell Milk,FunnelMoss FunnelSpruce Morel Chanterelle
128,57,F,30,15,5,3,4,3,2,1,3,x,,,x,x,x,x,x,,x,,x,,,SurpriseWebcap BloodRedWebcap Porcini RedBeltConk HornOfPlenty LactariusRufus,Chanterelle  WoollyMilkcap  ScotchBonnet  Hygrocybe ,5,Knife,,
129,38,F,10,4,4,5,4,5,4,4,2,x,x,,,x,,,x,x,,x,x,,,FunnelChanterelle AlbatrellusOvinus Bolete GypsyMushroom Lactarius,Chanterelle  Bolete Lactarius,4,Separate,Sources,
130,42,F,30,6,5,5,4,4,4,3,3,x,,,,,,,x,x,,x,x,x,,Bolete FunnelChanterelle,ParasolMushroom   ,3,Tell Equipment Pick,,
131,30,F,6,3,4,5,4,4,3,4,4,x,,,,,,x,x,x,,x,x,x,x,Chanterelle HornOfPlenty Lactarius,RoughStemmedBolete,4,Equipment,Pick,
132,38,F,30,3,4,5,4,5,5,4,4,x,x,,,,,,x,x,,x,x,x,x,FunnelChanterelle AlbatrellusOvinus Leccinum,Chanterelle,4,,Pick BoleteSafe Milk,Chanterelle FunnelMoss FunnelSlope Morel Old
133,27,Other,4,3,3,2,1,3,2,1,2,,,,x,x,x,x,x,,,,x,,,FunnelChanterelle Lactarius Bolete Hydnum HornOfPlenty GypsyMushroom SlimySpikeCap Chanterelle,Bolete  ShaggyInkCap  GypsyMushroom  Chanterelle  CommonPuffball  ParasolMushroom,4,Milk White Pick Whole Whole ,White Milk,
134,67,F,45,10,5,4,4,5,4,2,5,x,,,,,,,,,,x,,,,Chanterelle FunnelChanterelle HornOfPlenty,Chanterelle  UglyMilkcap ,4,Pick,,
135,32,F,13,4,5,5,5,5,3,2,4,x,,,x,x,,,x,x,,x,x,,x, FunnelChanterelle GypsyMushroom,Chanterelle  Bolete  Russula ,5,Pick,Milk,
136,40,F,3,3,2,4,2,2,5,1,2,,,,,x,,x,,,,,,x,, FunnelChanterelle,Lactarius,4,Pick,Pick,
137,55,M,10,2,2,4,4,4,4,5,4,,,,,,,x,,x,,,,x,,FunnelChanterelle Bolete,Chanterelle,5,Pick,,Kosteus
138,77,F,70,15,5,5,5,5,4,4,4,x,x,,x,x,,x,x,x,x,x,x,,,GyromitraEsculenta Chanterelle BayBolete Russula GypsyMushroom HygrophorusCamarophyllus HornOfPlenty FunnelChanterelle AlbatrellusOvinus Lactarius,Bolete  Hygrophoraceae  HornOfPlenty  CloudedAgaric ParasolMushroom  FlyAgaric,4,Pick Unidentified,,Familiar Similar
